0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:16 +0530] "GET /frontendPro/ HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/resources/images/chat8_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/resources/images/intro-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_job/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_job/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_friend/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/resources/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:19 +0530] "GET /frontendPro/resources/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:30 +0530] "GET /frontendPro/ HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:32 +0530] "GET /frontendPro/resources/images/chat8_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:32 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:32 +0530] "GET /frontendPro/resources/images/intro-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_job/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_job/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_friend/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/resources/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:33 +0530] "GET /frontendPro/resources/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:50 +0530] "GET /frontendPro/ HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:53 +0530] "GET /frontendPro/resources/images/chat8_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:53 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:53 +0530] "GET /frontendPro/resources/images/intro-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_job/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_job/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_friend/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/resources/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:45:54 +0530] "GET /frontendPro/resources/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:11 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:33 +0530] "GET /frontendPro/resources/images/chat8_img.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:33 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:34 +0530] "GET /frontendPro/resources/images/chat8_img.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:34 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:41 +0530] "GET /frontendPro/ HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:41 +0530] "GET /frontendPro/resources/images/chat8_img.png HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:41 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:41 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:52 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:46:58 +0530] "GET /backendPro/getUsers HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:47:07 +0530] "GET /frontendPro/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:47:08 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:47:08 +0530] "GET /frontendPro/imaged/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:47:26 +0530] "GET /frontendPro/ HTTP/1.1" 200 6196
0:0:0:0:0:0:0:1 - - [16/Jan/2017:18:47:29 +0530] "GET /frontendPro/js/app.js HTTP/1.1" 200 2182
